archivo_original,pagina_pdf,producto,modelo,variante,funcion,decision,motivo,nuevo_nombre,ruta_final,object_position,observaciones
p03_n036 (obj46),3,BH-522,BH-522,,lifestyle,conservar,Hero aprobado del catalogo,bh-522-hero.webp,assets/images/products/bh-522/bh-522-hero.webp,50% 45%,
p03_n030 ,3,BH-522,BH-522,,configuracion,conservar,Silla alta,bh-522-silla-alta.webp,assets/images/products/bh-522/bh-522-silla-alta.webp,50% 50%,
p03_n032 ,3,BH-522,BH-522,,configuracion,conservar,Configuracion baja,bh-522-config-baja.webp,assets/images/products/bh-522/bh-522-config-baja.webp,50% 50%,
p03_n034 ,3,BH-522,BH-522,,configuracion,conservar,Modo movil con ruedas,bh-522-modo-movil.webp,assets/images/products/bh-522/bh-522-modo-movil.webp,50% 50%,
p03_n037,3,BH-522,BH-522,,detalle,conservar,Arnes de 5 puntos,bh-522-arnes.webp,assets/images/products/bh-522/bh-522-arnes.webp,50% 50%,
p03_n038,3,BH-522,BH-522,,detalle,no publicada,Almacenamiento inferior,bh-522-almacenamiento.webp,,50% 50%,"Buena imagen, excluida por el limite de 5 fotografias por galeria"
p04_n042 (obj85),4,BH-525,BH-525,,lifestyle,conservar,Recortado para eliminar graficos decorativos del proveedor,bh-525-hero.webp,assets/images/products/bh-525/bh-525-hero.webp,45% 40%,
p04_n043,4,BH-525,BH-525,,configuracion,conservar,Periquera,bh-525-periquera.webp,assets/images/products/bh-525/bh-525-periquera.webp,50% 50%,
p04_n045 (recorte izq.),4,BH-525,BH-525,,configuracion,conservar,Silla baja,bh-525-silla-baja.webp,assets/images/products/bh-525/bh-525-silla-baja.webp,50% 50%,
p04_n045 (recorte der.),4,BH-525,BH-525,,configuracion,conservar,Mesita infantil,bh-525-mesita.webp,assets/images/products/bh-525/bh-525-mesita.webp,50% 50%,
p04_n041,4,BH-525,BH-525,,detalle,conservar,Arnes de 5 puntos,bh-525-arnes.webp,assets/images/products/bh-525/bh-525-arnes.webp,50% 50%,
p04_n047,4,BH-525,BH-525,,,descartar,Imagen del proveedor con texto sobreimpreso,,,,
p05_n050 (obj118),5,BH-524,BH-524,,lifestyle,conservar,Hero aprobado del catalogo,bh-524-hero.webp,assets/images/products/bh-524/bh-524-hero.webp,50% 40%,
p05_n051 (recorte),5,BH-524,BH-524,,configuracion,conservar,Con charola,bh-524-con-charola.webp,assets/images/products/bh-524/bh-524-con-charola.webp,50% 50%,
p05_n051 (recorte),5,BH-524,BH-524,,configuracion,conservar,Con asiento acolchado,bh-524-asiento-acolchado.webp,assets/images/products/bh-524/bh-524-asiento-acolchado.webp,50% 50%,
p05_n051 (recorte),5,BH-524,BH-524,,configuracion,conservar,Silla escalonada,bh-524-silla-escalonada.webp,assets/images/products/bh-524/bh-524-silla-escalonada.webp,50% 50%,
p05_n057,5,BH-524,BH-524,,detalle,conservar,Arnes de 5 puntos,bh-524-arnes.webp,assets/images/products/bh-524/bh-524-arnes.webp,50% 50%,
p05_n058,5,BH-524,BH-524,,,descartar,Imagen del proveedor con anotaciones graficas sobreimpresas,,,,
p06_n061 (recorte superior),6,BH-327,BH-327,,lifestyle,conservar,Recorte de la fotografia superior de la ficha; se excluyo todo el texto,bh-327-hero.webp,assets/images/products/bh-327/bh-327-hero.webp,50% 40%,
p06_n062,6,BH-327,BH-327,Verde,variante,conservar,Variante Verde,bh-327-verde.webp,assets/images/products/bh-327/bh-327-verde.webp,50% 50%,
